Job Name,Count,
.NET 5.0/6(1),1,
.NET Core Web API(6),6,
.NET Core(13),13,
.NET(138),138,
2D Animation Explainer Video(4),4,
2D Animation(26),26,
2D Drafting(7),7,
2D Drawing(15),15,
2D Game Art(6),6,
2D Layout(4),4,
360-degree video(11),11,
3D Animation(354),354,
3D Architecture(12),12,
3D CAD(9),9,
3D Design(175),175,
3D Drafting(8),8,
3D Layout(2),2,
3D Logo(4),4,
3D Model Maker(8),8,
3D Modelling(467),467,
3D Printing(7),7,
3D Rendering(393),393,
3D Rigging(6),6,
3D Scanning(2),2,
3D Visualization(3),3,
3ds Max(141),141,
4D(0),0,
802.11(0),0,
A&E(0),0,
A&P(0),0,
A&R(0),0,
A/B Testing(0),0,
A/R analysis(0),0,
A/R Collections(0),0,
A/R Management(0),0,
A/V design(0),0,
A/V editing(0),0,
A/V Engineering(1),1,
A/V Systems(0),0,
A+ Certified IT Technician(5),5,
A+ Certified Professional(5),5,
A1 Assessor(1),1,
AAUS Scientific Diver(0),0,
Ab Initio(0),0,
ABAP List Viewer (ALV)(0),0,
ABAP Web Dynpro(1),1,
Abaqus(2),2,
Abatement(0),0,
ABBYY FineReader(0),0,
ABC Analysis(0),0,
ABIS(1),1,
AbleCommerce(0),0,
Ableton Live(2),2,
Ableton Push(0),0,
Ableton(0),0,
Abnormal Psychology(1),1,
ABO Certified(0),0,
ABR Accredited Buyer Representative(2),2,
ABR Designation(0),0,
Abstract(0),0,
AC Drives(0),0,
AC3(0),0,
Academic Achievement(1),1,
Academic Administration(0),0,
Academic Advising(2),2,
Academic Medicine(1),1,
Academic Publishing(0),0,
Academic Research(7),7,
Academic Writing(16),16,
ACARS(0),0,
Accelerator Physics(0),0,
Access Point Identification(0),0,
Account Management(3),3,
Account Payables Management(0),0,
Account Receivables Management(0),0,
Accounting Tutoring(0),0,
Accounting(126),126,
Acoustical Engineering(1),1,
Actimize(0),0,
Acting(16),16,
ActionScript(2),2,
Active Directory(7),7,
Active Site Survey(3),3,
ActiveCampaign(2),2,
Ad Planning & Buying(1),1,
Ada programming(0),0,
ADF / Oracle ADF(0),0,
Administrative Support(20),20,
ADO.NET(0),0,
Adobe Acrobat(3),3,
Adobe Air(0),0,
Adobe Analytics(0),0,
Adobe Animate(2),2,
Adobe Audition(4),4,
Adobe Captivate(2),2,
Adobe Creative Cloud(2),2,
Adobe Creative Suite(0),0,
Adobe Dreamweaver(0),0,
Adobe Dynamic Tag Management(0),0,
Adobe Experience Manager(1),1,
Adobe Fireworks(0),0,
Adobe Flash(26),26,
Adobe FrameMaker(0),0,
Adobe Freehand(0),0,
Adobe Illustrator(23),23,
Adobe InDesign(53),53,
Adobe Lightroom(16),16,
Adobe LiveCycle Designer(0),0,
Adobe Muse(0),0,
Adobe Pagemaker(2),2,
Adobe Photoshop(13),13,
Adobe Premiere Pro(12),12,
Adobe Robohelp(0),0,
Adobe XD(14),14,
Advanced Business Application Programming (ABAP)(0),0,
Advertisement Design(24),24,
Advertising(181),181,
Aerial Technical Site Survey(0),0,
Aeronautical Engineering(1),1,
Aerospace Engineering(6),6,
Affectiva(0),0,
Affiliate Marketing(14),14,
Affinity Designer(0),0,
Affinity Photo(0),0,
Afrikaans Translator(1),1,
After Effects(253),253,
Agency Relationship Management(2),2,
Agile Development(2),2,
Agile Project Management(1),1,
Agora(3),3,
A-GPS(1),1,
Agronomy(2),2,
AI (Artificial Intelligence) HW/SW(4),4,
AI/RPA development(6),6,
Air Conditioning(2),2,
Airbnb(0),0,
Aircraft Performance(1),1,
Aircraft Propulsion(0),0,
Aircraft Sales(0),0,
Aircraft Structures(1),1,
Aircraft Systems(0),0,
Airfield Lighting(0),0,
Airframe(0),0,
Airline(0),0,
Airspace Management(0),0,
Airtable(1),1,
AIX Administration(0),0,
AJAX Frameworks(0),0,
AJAX Toolkit(0),0,
AJAX(28),28,
Ajax4JSF(0),0,
Akka(0),0,
Alacra(0),0,
Alarm Management(0),0,
Alarm Systems(0),0,
Albanian Translator(0),0,
ALBPM(0),0,
Album Design(4),4,
Album Production(0),0,
Alchemist(0),0,
Alerting(0),0,
Alexa Modification(1),1,
Algebra Tutoring(0),0,
Algogrand(0),0,
Algolia(1),1,
Algorithm Analysis(2),2,
Algorithm(76),76,
Alias(0),0,
Alibaba(5),5,
Alibre Design(0),0,
Alienbrain(0),0,
AliExpress(0),0,
All-Source Analysis(0),0,
AlphaCAM(0),0,
Alpine JS(1),1,
Altera Quartus(0),0,
Alternative Investments(0),0,
Alternative Rock(0),0,
Alteryx(2),2,
Altium Designer(1),1,
Altium NEXUS(0),0,
Alto Flute(0),0,
Alumni Relations(0),0,
Alvarion(0),0,
Alzheimers Care(0),0,
Amazon App Development(1),1,
Amazon CloudFormation(2),2,
Amazon CloudFront(1),1,
Amazon ECS(0),0,
Amazon FBA(9),9,
Amazon Fire(1),1,
Amazon Kindle(5),5,
Amazon Listings Optimization(4),4,
Amazon Product Launch(4),4,
Amazon S3(6),6,
Amazon Web Services(152),152,
Amazon(19),19,
American Sign Language Translator(1),1,
Amibroker Formula Language(3),3,
AMQP(0),0,
Analog / Mixed Signal / Digital(1),1,
Analog Electronics(3),3,
Analog(0),0,
Analytics Sales(0),0,
Analytics(5),5,
Anaplan(0),0,
Andon(0),0,
Android App Development(32),32,
Android SDK(5),5,
Android Studio(22),22,
Android UI Design(5),5,
Android Wear SDK(2),2,
Android(682),682,
Angular 4(2),2,
Angular 6(15),15,
Angular Material(5),5,
Angular(32),32,
AngularJS(143),143,
Animated Video Development(12),12,
Animation(294),294,
Animoto(0),0,
Annual Report Design(0),0,
Annuals(0),0,
Anodizing(0),0,
Anomaly Detection(0),0,
ANOVA(0),0,
Anritsu Certified(0),0,
Ansible(6),6,
Answering Telephones(4),4,
Ansys(8),8,
Antenna Design(0),0,
Antenna Measurements(0),0,
Antenna Services(0),0,
Anthropology(1),1,
Anti Money Laundering(0),0,
Antique Restoration(1),1,
Antiques(0),0,
Antitrust Economics(0),0,
Apache Ant(0),0,
Apache Hadoop(1),1,
Apache Kafka(9),9,
Apache Maven(7),7,
Apache Solr(0),0,
