Country,Total Freelancers
India,1686167
Pakistan,369673
Bangladesh,202640
Indonesia,141444
Egypt,125784
Brazil,123830
Philippines,123210
United States,117368
Turkey,73631
Nigeria,70076
Argentina,64187
Colombia,50417
Sri Lanka,44615
Kenya,43327
Mexico,42206
Vietnam,40283
United Kingdom,33318
Malaysia,32974
Nepal,32071
Venezuela,30333
Spain,27992
Morocco,27977
Italy,25055
Canada,24827
South Africa,22031
United Arab Emirates,19285
Russian Federation,18318
Romania,17460
Saudi Arabia,16395
Ukraine,16344
Australia,15832
Peru,15689
Germany,15522
Algeria,15474
Portugal,12825
France,11396
Poland,10459
Ecuador,9958
Chile,9948
Dominican Republic,9849
Palestinian Territory,9569
Tunisia,9322
China,8758
Lebanon,8415
Serbia,8243
Ghana,7948
Ethiopia,6759
Greece,6415
Singapore,6316
Azerbaijan,6177
Jordan,5828
Georgia,5694
Iraq,5566
Netherlands,5170
Uzbekistan,5096
Costa Rica,4855
Hungary,4178
Uruguay,4110
Bulgaria,4067
Albania,4050
El Salvador,3938
Armenia,3826
Cameroon,3713
Thailand,3609
Bosnia and Herzegovina,3573
Uganda,3533
Japan,3525
"Tanzania, United Republic of",3471
Israel,3456
Hong Kong,3455
Panama,3417
Belarus,3376
Qatar,3349
Guatemala,3074
Macedonia,3057
Sweden,3036
Jamaica,2906
Croatia,2896
Honduras,2885
Ireland,2667
Bolivia,2610
Kuwait,2534
Afghanistan,2512
Kazakhstan,2497
"Moldova, Republic of",2464
Madagascar,2461
Oman,2443
New Zealand,2438
Nicaragua,2391
Zimbabwe,2301
Czech Republic,2260
Belgium,2102
Austria,2034
Benin,1876
Switzerland,1824
Zambia,1778
Paraguay,1776
"Korea, Republic of",1606
Haiti,1554
Finland,1524
Taiwan,1522
Bahrain,1495
Lithuania,1457
Slovenia,1440
Latvia,1431
Rwanda,1410
Cyprus,1328
Mozambique,1310
Norway,1264
Mauritius,1090
Slovakia,1079
Senegal,1054
Libya,1029
Kosovo,979
Cambodia,935
Kyrgyzstan,900
Estonia,842
Trinidad and Tobago,805
Malawi,766
Montenegro,698
Malta,611
Bhutan,357
Tajikistan,337
Luxembourg,285
Swaziland,190
Barbados,153
